workload,threads,execution_time,speed_up
blackscholes,1,86.58,1.0
blackscholes,2,48.76,1.78
blackscholes,4,29.47,2.94
blackscholes,8,22.55,3.84
canneal,1,191.06,1.0
canneal,2,116.0,1.65
canneal,4,74.68,2.56
canneal,8,61.96,3.08
dedup,1,14.3,1.0
dedup,2,7.64,1.87
dedup,4,5.05,2.83
dedup,8,4.26,3.36
ferret,1,226.82,1.0
ferret,2,115.52,1.96
ferret,4,64.45,3.52
ferret,8,56.29,4.03
freqmine,1,346.73,1.0
freqmine,2,174.6,1.99
freqmine,4,88.21,3.93
freqmine,8,71.92,4.82
radix,1,41.03,1.0
radix,2,20.62,1.99
radix,4,10.5,3.91
radix,8,6.9,5.95
vips,1,65.71,1.0
vips,2,33.0,1.99
vips,4,17.05,3.85
vips,8,16.11,4.08
